,name,score
8,rank_by_group,0.059342593155883666
4,max_by_group,0.07422426747787116
7,mean_by_group,0.07435327129528262
6,median_by_group,0.07526389513607185
2,group_killPlace_avg,0.08735656365497363
5,sum_by_group,0.08793466203858052
3,min_by_group,0.09514092765363792
11,kill_per_heal,0.09603949719912079
1,group_ct,0.09717235882679742
5,headshotAcc,0.09718554711434604
7,group_ct,0.0974095625702579
3,kills_norm,0.09746186882663789
4,damageDelt_norm,0.09759845258636908
0,original,0.09777796191528097
1,lobby_ct,0.097788350812989
12,heal_per_distance,0.0983154775271615
13,distance_per_heal,0.09837870335332834
6,total_distance,0.09839843296315422
10,heal_per_kill,0.09840202277422741
2,total_heals,0.0984114562172283
0,original,0.09841780645342246
9,kill_per_distance,0.09875391323966981
8,distance_per_kill,0.09880382635249874
